Post_ID,User_ID,Post_Text,Sentiment,User_Category
P1,U13,its hard to say whos right or wrong,Neutral,Neutral
P3,U28,this is just the beginning more will come,Negative,Radicalized
P4,U97,lets support peace and unity,Positive,Supportive
P5,U21,peace is the only way forward,Positive,Supportive
P6,U24,some people support others criticize,Neutral,Neutral
P8,U76,news reports suggest rising tensions,Neutral,Neutral
P9,U75,we must retaliate against them,Negative,Radicalized
P11,U30,justice will prevail over hate,Positive,Supportive
P14,U14,justice should be served in any way possible,Negative,Radicalized
P17,U35,we must stand together against terror,Positive,Supportive
P18,U72,violence is the only language they understand,Negative,Radicalized
P19,U79,violence never solves anything,Positive,Supportive
P20,U30,they will pay for their actions,Negative,Radicalized
P21,U31,opinions on the incident vary widely,Neutral,Neutral
P22,U32,the recent events are concerning,Neutral,Neutral
P23,U33,lets work together to make our community stronger,positive,community building
P24,U34,peace and kindness are the keys to a better future,positive,peace advocacy
P25,U35,helping others is the true path to greatness,positive,motivational
P26,U36,lets stand united against hatred and violence,positive,anti-violence
P27,U37,every act of kindness makes the world brighter,positive,inspirational
P28,U38,we should always support each other and lift each other up,positive,community support
P29,U39,working together brings lasting change,positive,collaboration
P30,U40,compassion and empathy will heal our society,positive,peace advocacy
P31,U41,volunteering brings purpose and joy,positive,community service
P32,U42,a peaceful heart leads to a peaceful world,positive,peace advocacy
P33,U43,your voice matterslets shape the future together,positive,civic engagement
P34,U44,support your neighbors and show kindness every day,positive,community building
P35,U45,education is the foundation of a brighter tomorrow,positive,inspirational
P36,U46,celebrate diversity and respect all people,positive,diversity
P37,U47,forgiveness is a powerful act of courage,positive,peace advocacy
P38,U48,the world needs more compassion and understanding,positive,motivational
P39,U49,your small actions can inspire great change,positive,inspirational
P40,U50,we can overcome anything if we stand together,positive,collaboration
P41,U51,be a light in someone elses darkness,positive,inspirational
P42,U52,acts of kindness ripple far beyond what we see,positive,motivational
P43,U53,our community thrives when we all contribute,positive,community building
P44,U54,together we can build a future based on love and respect,positive,peace advocacy
P45,U55,unity and respect will always defeat hatred,positive,anti-violence
P46,U56,lets invest in hope and humanity,positive,motivational
P47,U57,positive change starts with empathy,positive,inspirational
P48,U58,choose kindness over anger every single day,positive,peace advocacy
P49,U59,support each other and great things will follow,positive,community support
P50,U60,peace begins with a single act of understanding,positive,peace advocacy
P51,U61,helping someone today could change their life forever,positive,motivational
P52,U62,spread hope not hate,positive,anti-violence
P53,U63,lets build bridges not walls,positive,community building
P54,U64,empathy is the root of lasting peace,positive,peace advocacy
P55,U65,kind words are more powerful than you know,positive,inspirational
P56,U66,inclusion creates stronger communities,positive,diversity
P57,U67,be part of the solutionhelp others rise,positive,motivational
P58,U68,together we can create a kinder world,positive,peace advocacy
P59,U69,always be the reason someone smiles today,positive,inspirational
P60,U70,listening with empathy can change lives,positive,peace advocacy
P61,U71,lets work for peace justice and equality,positive,civic engagement
P62,U72,respect and kindness make every community stronger,positive,community support
P63,U73,a peaceful society starts with each of us,positive,peace advocacy
P64,U74,small acts of love can change the world,positive,motivational
P65,U75,we all have a role in building harmony,positive,collaboration
P66,U76,the future is brighter when we work together,positive,inspirational
P67,U77,kindness is the language of true strength,positive,peace advocacy
P68,U78,lift others up whenever you can,positive,community building
P69,U79,unity is the foundation of peace,positive,motivational
P70,U80,never underestimate the power of compassion,positive,inspirational
P71,U81,love and understanding will always prevail,positive,peace advocacy
P72,U82,the path to peace is paved with kindness,positive,peace advocacy
P73,U83,the tyrants will soon feel the fury of our cause,negative,extremist threat
P74,U84,we will light the flames of rebellion in every corner,negative,radicalization
P75,U85,no compromise no surrender only total annihilation awaits them,negative,extremist threat
P76,U86,the oppressors will be hunted down one by one,negative,extremist threat
P77,U87,every drop of their blood will water the seeds of our victory,negative,propaganda
